name,title,company,profile_url
Alex Sukennik,Chief Information Officer,Semrush Inc.,https://www.stage2.capital/team/alex-sukennik
Amy Sezak,"Senior Vice President, Corporate Communications &amp; PR",Yelp,https://www.stage2.capital/team/amy-sezak
Anthony Kolodynski,"Regional Vice President, EMEA",Weights &amp; Biases,https://www.stage2.capital/team/anthony-kolodynski
Bhavin Rawal,Founder; Chief Product Officer,RCloud Labs ; CloudCall,https://www.stage2.capital/team/bhavin-rawal
Brandon Cohan,"Senior Vice President, Customer Success &amp; Operations",Edia,https://www.stage2.capital/team/brandon-cohan
Bryan Tucker,"Area Vice President, Mid-Market Sales",Gong,https://www.stage2.capital/team/bryan-tucker
Chris Millerick,"Global Vice President - WW Partner Sales, Alliances &amp; Hyperscalers",Infoblox,https://www.stage2.capital/team/chris-millerick
Chris O’Brien,Chief Commercial Officer,C.H. Robinson,https://www.stage2.capital/team/chris-o’brien
Danny Schonfeld,"Senior Vice President, Revenue Operations",Edmentum,https://www.stage2.capital/team/danny-schonfeld
David Noël,Regional Vice President MEA,Dynatrace,https://www.stage2.capital/team/david-noël
Dennis Gushue,Senior Vice President of Sales,ThreeFlow,https://www.stage2.capital/team/dennis-gushue
Doug Grigg,"President, Go To Market",Showpad,https://www.stage2.capital/team/doug-grigg
Eric Din,"Senior Vice President, Global Alliances",Medallia,https://www.stage2.capital/team/eric-din
Eve Alexander,"Senior Vice President, Corporate &amp; Product Marketing",Seismic,https://www.stage2.capital/team/eve-alexander
Genefa Murphy,Chief Marketing Officer,Udemy,https://www.stage2.capital/team/genefa-murphy
Geoff Nugent,"Regional Vice President, Financial Services",Salesforce,https://www.stage2.capital/team/geoff-nugent
Hass Johnson,"Regional Vice President, SouthWest, Strategic Enterprise",LogicMonitor,https://www.stage2.capital/team/hass-johnson
Jack Foster,Senior Vice President of Global Marketing,Theta Lake,https://www.stage2.capital/team/jack-foster
Jackson Brewer,"Regional Vice President, Growth Sales",Toast,https://www.stage2.capital/team/jackson-brewer
James Lemonias,"Senior Vice President, Customer Success",Nasuni,https://www.stage2.capital/team/james-lemonias
James Melcer,Senior Vice President of Global Sales,Prezent,https://www.stage2.capital/team/james-melcer
Jeff Schwartz,President,Solvr,https://www.stage2.capital/team/jeff-schwartz
Jill Guardia,"Senior Vice President, Revenue Enablement &amp; Operations",Thought Industries,https://www.stage2.capital/team/jill-guardia
Jillian Kamiyama,Area Vice President | Emerging Sales,NetSuite,https://www.stage2.capital/team/jillian-kamiyama
Joe Sawyer,Chief Marketing Officer,Flashpoint,https://www.stage2.capital/team/joe-sawyer
Joshua Ziel,Chief Sales Officer,Graylog,https://www.stage2.capital/team/joshua-ziel
Katherine Palmer,Global Vice President of Customer Success &amp; Renewals,DataCamp,https://www.stage2.capital/team/katherine-palmer
Keshila Shannon,Senior Vice President of Global Marketing,Abode <https://www.abodehr.com/>,https://www.stage2.capital/team/keshila-shannon
Kyle Stout,Global Vice President of GTM Strategy and Operations,Datadog,https://www.stage2.capital/team/kyle-stout
Larry Simmons,Senior Vice President Technical Services,Snowplow,https://www.stage2.capital/team/larry-simmons
Luke Abbott,Senior Vice President Sales Americas,Medallia,https://www.stage2.capital/team/luke-abbott
Manik Dhar,Chief Commercial Officer,May Mobility,https://www.stage2.capital/team/manik-dhar
Marilee Bear,Chief Revenue Officer,Gainsight,https://www.stage2.capital/team/marilee-bear
Mark Mikitka,"Chief Revenue Officer, SAP Customer Experience, Americas",SAP,https://www.stage2.capital/team/mark-mikitka
Maryna Hradovich,Co-Founder and Chief Operating Officer,Maestra,https://www.stage2.capital/team/maryna-hradovich
Michael Mooney,"Senior Vice President, North America Sales",Bitsight,https://www.stage2.capital/team/michael-mooney
Ozge Tuncel Ozcan,Chief Customer Officer,Forter,https://www.stage2.capital/team/ozge-tuncel-ozcan
Pramod Iyengar,Chief Financial Officer,"Veem, Inc.",https://www.stage2.capital/team/pramod-iyengar
Ronak Majmudar,Senior Vice President Global Customer Success &amp; Solution Engineering,Zuora,https://www.stage2.capital/team/ronak-majmudar
Ryan Radding,Senior Vice President (SVP) U.S. and Canada Financial Services Enterprise Sales,Salesforce,https://www.stage2.capital/team/ryan-radding
Sean Holcombe,"Executive Vice President, Global Strategic Sales &amp; Partnerships",Qualtrics,https://www.stage2.capital/team/sean-holcombe
Shawn Green,Chief Revenue Officer EVP GTM,Carbon6,https://www.stage2.capital/team/shawn-green
Travis Dion,"Senior Vice President, Alliances &amp; Channels",WalkMe,https://www.stage2.capital/team/travis-dion
Vaishali Rana Reed,Chief Operating Officer | Executive Producer,The Reeder,https://www.stage2.capital/team/vaishali-rana-reed
