name,title,company,profile_url
Adrian Rosenkranz,CRO,Webflow,https://www.stage2.capital/team/adrian-rosenkranz
Alex Poulos,CEO,Userflow ; Beamer,https://www.stage2.capital/team/alex-poulos
Alex Sukennik,Chief Information Officer,Semrush Inc.,https://www.stage2.capital/team/alex-sukennik
Amy Sezak,"Senior Vice President, Corporate Communications &amp; PR",Yelp,https://www.stage2.capital/team/amy-sezak
Amy Volas,Founder &amp; CEO,Avenue Talent Partners,https://www.stage2.capital/team/amy-volas
Anthony Kolodynski,"Regional Vice President, EMEA",Weights &amp; Biases,https://www.stage2.capital/team/anthony-kolodynski
Ari Osur,CMO,SANS Institute,https://www.stage2.capital/team/ari-osur
Ashok Rajan,CEO and Founder,Pristine Data AI,https://www.stage2.capital/team/ashok-rajan
Ben O'Rourke,CRO,Lytica,https://www.stage2.capital/team/ben-o'rourke
Bhavin Rawal,Founder; Chief Product Officer,RCloud Labs ; CloudCall,https://www.stage2.capital/team/bhavin-rawal
Bill Hobbib,CMO,DemandScience,https://www.stage2.capital/team/bill-hobbib
Bob Lyle,CRO,Medcrypt,https://www.stage2.capital/team/bob-lyle
Brandon Cohan,"Senior Vice President, Customer Success &amp; Operations",Edia,https://www.stage2.capital/team/brandon-cohan
Brett Chereskin,COO,dub,https://www.stage2.capital/team/brett-chereskin
Brian Levin,CRO,Reality Defender,https://www.stage2.capital/team/brian-levin
Bryan Tucker,"Area Vice President, Mid-Market Sales",Gong,https://www.stage2.capital/team/bryan-tucker
Charleen Kao,Founder &amp; CEO,The Join Agency,https://www.stage2.capital/team/charleen-kao
Chris Millerick,"Global Vice President - WW Partner Sales, Alliances &amp; Hyperscalers",Infoblox,https://www.stage2.capital/team/chris-millerick
Chris O’Brien,Chief Commercial Officer,C.H. Robinson,https://www.stage2.capital/team/chris-o’brien
Cliff Unger,CRO,CCT <http://www.cct.io>,https://www.stage2.capital/team/cliff-unger
Costa Harbilas,CRO,Intapp,https://www.stage2.capital/team/costa-harbilas
Dan Kimball,CMO,Spectrum Equity,https://www.stage2.capital/team/dan-kimball
Danny Schonfeld,"Senior Vice President, Revenue Operations",Edmentum,https://www.stage2.capital/team/danny-schonfeld
Dave Burns,CCO,IRIS Software Group,https://www.stage2.capital/team/dave-burns
David Noël,Regional Vice President MEA,Dynatrace,https://www.stage2.capital/team/david-noël
Dennis Gushue,Senior Vice President of Sales,ThreeFlow,https://www.stage2.capital/team/dennis-gushue
Dexter Bachelder,CEO,Propel People <https://www.propelpeopleco.com/>,https://www.stage2.capital/team/dexter-bachelder
Doug Grigg,"President, Go To Market",Showpad,https://www.stage2.capital/team/doug-grigg
Edward Unthank,Founder and CEO,Etumos,https://www.stage2.capital/team/edward-unthank
Eric Din,"Senior Vice President, Global Alliances",Medallia,https://www.stage2.capital/team/eric-din
Eve Alexander,"Senior Vice President, Corporate &amp; Product Marketing",Seismic,https://www.stage2.capital/team/eve-alexander
Gary Lombardo,CMO,Alpenglow Marketing,https://www.stage2.capital/team/gary-lombardo
Genefa Murphy,Chief Marketing Officer,Udemy,https://www.stage2.capital/team/genefa-murphy
Geoff Nugent,"Regional Vice President, Financial Services",Salesforce,https://www.stage2.capital/team/geoff-nugent
Grant Ho,CMO,IRONSCALES,https://www.stage2.capital/team/grant-ho
Hass Johnson,"Regional Vice President, SouthWest, Strategic Enterprise",LogicMonitor,https://www.stage2.capital/team/hass-johnson
Jack Foster,Senior Vice President of Global Marketing,Theta Lake,https://www.stage2.capital/team/jack-foster
Jackson Brewer,"Regional Vice President, Growth Sales",Toast,https://www.stage2.capital/team/jackson-brewer
Jake Newfield,Co-Founder &amp; CEO,Hermetiq,https://www.stage2.capital/team/jake-newfield
James Lemonias,"Senior Vice President, Customer Success",Nasuni,https://www.stage2.capital/team/james-lemonias
James Melcer,Senior Vice President of Global Sales,Prezent,https://www.stage2.capital/team/james-melcer
Javier Ortega Estrada,CRO,Vimeo,https://www.stage2.capital/team/javier-ortega-estrada
Jayashree Rajan,CMO,Nexla,https://www.stage2.capital/team/jayashree-rajan
Jeff Schwartz,President,Solvr,https://www.stage2.capital/team/jeff-schwartz
Jenny Moebius,"SVP, Head of Marketing",Skedda,https://www.stage2.capital/team/jenny-moebius
Jill Guardia,"Senior Vice President, Revenue Enablement &amp; Operations",Thought Industries,https://www.stage2.capital/team/jill-guardia
Jillian Kamiyama,Area Vice President | Emerging Sales,NetSuite,https://www.stage2.capital/team/jillian-kamiyama
Joe Sawyer,Chief Marketing Officer,Flashpoint,https://www.stage2.capital/team/joe-sawyer
John Thackston,CEO,SOAR Performance Group,https://www.stage2.capital/team/john-thackston
Joshua Ziel,Chief Sales Officer,Graylog,https://www.stage2.capital/team/joshua-ziel
Katherine Palmer,Global Vice President of Customer Success &amp; Renewals,DataCamp,https://www.stage2.capital/team/katherine-palmer
Kathie Johnson,Founder and CMO,Accel Growth Partners <https://www.accelgrowthpartners.ai>,https://www.stage2.capital/team/kathie-johnson
Keshila Shannon,Senior Vice President of Global Marketing,Abode <https://www.abodehr.com/>,https://www.stage2.capital/team/keshila-shannon
Kristi Faltorusso,CCO,ClientSuccess,https://www.stage2.capital/team/kristi-faltorusso
Kyle Stout,Global Vice President of GTM Strategy and Operations,Datadog,https://www.stage2.capital/team/kyle-stout
Larry Simmons,Senior Vice President Technical Services,Snowplow,https://www.stage2.capital/team/larry-simmons
Luke Abbott,Senior Vice President Sales Americas,Medallia,https://www.stage2.capital/team/luke-abbott
Manik Dhar,Chief Commercial Officer,May Mobility,https://www.stage2.capital/team/manik-dhar
Marilee Bear,Chief Revenue Officer,Gainsight,https://www.stage2.capital/team/marilee-bear
Mark Mikitka,"Chief Revenue Officer, SAP Customer Experience, Americas",SAP,https://www.stage2.capital/team/mark-mikitka
